,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
116,19.3775,-155.168,3.28,1.18,13.3857,0.46665081018518517
117,19.3775,-155.168,3.28,1.18,13.3857,0.46665081018518517
118,19.3723,-155.1635,3.46,0.99,14.0398,0.46359085648148146
119,19.3723,-155.1635,3.46,0.99,14.0398,0.46359085648148146
120,19.3767,-155.16299999999998,3.44,1.07,13.9073,0.46227708333333334
121,19.3767,-155.16299999999998,3.44,1.07,13.9073,0.46227708333333334
122,19.374000000000002,-155.1595,3.83,1.42,14.3578,0.4610503472222222
123,19.374000000000002,-155.1595,3.83,1.42,14.3578,0.4610503472222222
124,19.3692,-155.1623,3.5,1.34,14.2915,0.4601019675925926
125,19.3692,-155.1623,3.5,1.34,14.2915,0.4601019675925926
126,19.3708,-155.1647,3.58,1.57,13.9895,0.4596174768518518
127,19.3708,-155.1647,3.58,1.57,13.9895,0.4596174768518518
128,19.373,-155.1608,3.37,1.41,14.2721,0.45868877314814815
129,19.373,-155.1608,3.37,1.41,14.2721,0.45868877314814815
130,19.3698,-155.1552,5.57,1.46,14.9505,0.4575872685185185
131,19.3698,-155.1552,5.57,1.46,14.9505,0.4575872685185185
132,19.3715,-155.162,3.51,1.57,14.2193,0.4559832175925926
133,19.3715,-155.162,3.51,1.57,14.2193,0.4559832175925926
134,19.3805,-155.1747,4.74,0.9,12.61,0.4449642361111112
135,19.3805,-155.1747,4.74,0.9,12.61,0.4449642361111112
136,19.373,-155.1663,3.43,1.23,13.7388,0.4381207175925926
137,19.373,-155.1663,3.43,1.23,13.7388,0.4381207175925926
138,19.3708,-155.157,3.84,1.52,14.7335,0.4348782407407408
139,19.3708,-155.157,3.84,1.52,14.7335,0.4348782407407408
140,19.3923,-155.1818,2.32,1.1,11.4856,0.4331664351851852
141,19.3923,-155.1818,2.32,1.1,11.4856,0.4331664351851852
142,19.371,-155.1587,3.81,1.38,14.5602,0.43180949074074065
143,19.371,-155.1587,3.81,1.38,14.5602,0.43180949074074065
144,19.3755,-155.1577,3.45,1.12,14.4746,0.43124525462962954
145,19.3755,-155.1577,3.45,1.12,14.4746,0.43124525462962954
146,19.3708,-155.1572,3.55,1.49,14.7141,0.4301556712962962
147,19.3708,-155.1572,3.55,1.49,14.7141,0.4301556712962962
148,19.3683,-155.1537,3.57,1.53,15.1598,0.42934675925925925
149,19.3683,-155.1537,3.57,1.53,15.1598,0.42934675925925925
150,19.3697,-155.1547,4.0,1.6,15.0032,0.4289444444444445
151,19.3697,-155.1547,4.0,1.6,15.0032,0.4289444444444445
152,19.3727,-155.1677,3.44,0.89,13.6168,0.4271912037037037
153,19.3727,-155.1677,3.44,0.89,13.6168,0.4271912037037037
154,19.3742,-155.1607,3.61,0.63,14.2325,0.425257175925926
155,19.3742,-155.1607,3.61,0.63,14.2325,0.425257175925926
156,19.366,-155.1567,3.43,0.63,14.9728,0.4250592592592593
157,19.366,-155.1567,3.43,0.63,14.9728,0.4250592592592593
158,19.3762,-155.1572,3.58,1.3,14.4968,0.4233402777777778
159,19.3762,-155.1572,3.58,1.3,14.4968,0.4233402777777778
160,19.3718,-155.1665,3.49,1.12,13.772,0.4216769675925926
161,19.3718,-155.1665,3.49,1.12,13.772,0.4216769675925926
162,19.3758,-155.1532,3.43,1.12,14.9064,0.4194393518518518
163,19.3758,-155.1532,3.43,1.12,14.9064,0.4194393518518518
164,19.3707,-155.165,3.09,1.11,13.9651,0.41833472222222223
165,19.3707,-155.165,3.09,1.11,13.9651,0.41833472222222223
166,19.3747,-155.1703,2.73,0.89,13.2787,0.4165041666666667
167,19.3747,-155.1703,2.73,0.89,13.2787,0.4165041666666667
168,19.3573,-155.1538,3.36,1.39,15.6643,0.41391493055555556
169,19.3573,-155.1538,3.36,1.39,15.6643,0.41391493055555556
170,19.373,-155.1637,3.12,1.09,13.9905,0.4119680555555556
171,19.373,-155.1637,3.12,1.09,13.9905,0.4119680555555556
172,19.3707,-155.157,3.55,1.03,14.7378,0.41084456018518517
173,19.3707,-155.157,3.55,1.03,14.7378,0.41084456018518517
174,19.3622,-155.1497,4.11,1.42,15.815999999999999,0.40808831018518515
175,19.3622,-155.1497,4.11,1.42,15.815999999999999,0.40808831018518515
176,19.37,-155.1675,3.87,1.54,13.7572,0.4056806712962963
177,19.37,-155.1675,3.87,1.54,13.7572,0.4056806712962963
178,19.364,-155.1563,3.48,1.16,15.1032,0.4046895833333333
179,19.364,-155.1563,3.48,1.16,15.1032,0.4046895833333333
180,19.3712,-155.1515,3.61,1.87,15.2527,0.3909246527777778
181,19.3712,-155.1515,3.61,1.87,15.2527,0.3909246527777778
182,19.3682,-155.1533,4.29,1.37,15.2028,0.3903152777777778
183,19.3682,-155.1533,4.29,1.37,15.2028,0.3903152777777778
184,19.3752,-155.1533,3.88,1.91,14.9192,0.3899881944444445
185,19.3752,-155.1533,3.88,1.91,14.9192,0.3899881944444445
186,19.3737,-155.1498,3.77,1.6,15.3213,0.3892903935185186
187,19.3737,-155.1498,3.77,1.6,15.3213,0.3892903935185186
188,19.3695,-155.149,3.9,1.7,15.565999999999999,0.388247800925926
189,19.3695,-155.149,3.9,1.7,15.565999999999999,0.388247800925926
190,19.37,-155.14600000000002,3.37,1.95,15.839,0.38729375
191,19.37,-155.14600000000002,3.37,1.95,15.839,0.38729375
192,19.3687,-155.161,3.94,1.42,14.4387,0.38658969907407403
193,19.3687,-155.161,3.94,1.42,14.4387,0.38658969907407403
194,19.3692,-155.1625,3.37,1.53,14.2723,0.384518287037037
195,19.3692,-155.1625,3.37,1.53,14.2723,0.384518287037037
196,19.3702,-155.16,3.52,1.35,14.4688,0.38173703703703704
197,19.3702,-155.16,3.52,1.35,14.4688,0.38173703703703704
198,19.3665,-155.1597,1.58,1.07,14.6631,0.38131354166666664
199,19.3665,-155.1597,1.58,1.07,14.6631,0.38131354166666664
200,19.3695,-155.1555,3.7,1.5,14.9341,0.3760996527777778
201,19.3695,-155.1555,3.7,1.5,14.9341,0.3760996527777778
202,19.3658,-155.1752,4.11,0.9,13.2357,0.3751440972222222
203,19.3658,-155.1752,4.11,0.9,13.2357,0.3751440972222222
204,19.3802,-155.1703,2.94,1.14,13.0536,0.37475046296296294
205,19.3802,-155.1703,2.94,1.14,13.0536,0.37475046296296294
206,19.372,-155.171,3.11,1.49,13.3311,0.36371527777777773
207,19.372,-155.171,3.11,1.49,13.3311,0.36371527777777773
208,19.3388,-155.1597,2.87,0.89,16.1819,0.36218703703703703
209,19.3388,-155.1597,2.87,0.89,16.1819,0.36218703703703703
210,19.3773,-155.1678,3.08,1.16,13.4133,0.3594737268518518
211,19.3773,-155.1678,3.08,1.16,13.4133,0.3594737268518518
212,19.3702,-155.1567,3.49,1.52,14.788,0.3580934027777778
213,19.3702,-155.1567,3.49,1.52,14.788,0.3580934027777778
214,19.3683,-155.1638,3.24,0.89,14.1887,0.35698842592592595
215,19.3683,-155.1638,3.24,0.89,14.1887,0.35698842592592595
216,19.372,-155.154,3.23,1.55,14.9761,0.35326712962962964
217,19.372,-155.154,3.23,1.55,14.9761,0.35326712962962964
218,19.3752,-155.1413,2.81,1.12,16.1079,0.3528357638888889
219,19.3752,-155.1413,2.81,1.12,16.1079,0.3528357638888889
220,19.3663,-155.1623,3.48,1.34,14.4246,0.34894826388888894
221,19.3663,-155.1623,3.48,1.34,14.4246,0.34894826388888894
222,19.3802,-155.1453,2.45,1.51,15.5389,0.33951307870370373
223,19.3802,-155.1453,2.45,1.51,15.5389,0.33951307870370373
224,19.3743,-155.1408,2.77,2.82,16.1896,0.3378310185185185
225,19.3743,-155.1408,2.77,2.82,16.1896,0.3378310185185185
226,19.3762,-155.1397,3.04,1.51,16.2327,0.336159375
227,19.3762,-155.1397,3.04,1.51,16.2327,0.336159375
228,19.3765,-155.1418,3.33,1.82,16.0129,0.3355326388888889
229,19.3765,-155.1418,3.33,1.82,16.0129,0.3355326388888889
230,19.3747,-155.1447,2.88,0.63,15.7881,0.3340300925925926
231,19.3747,-155.1447,2.88,0.63,15.7881,0.3340300925925926
232,19.3745,-155.1413,2.78,1.95,16.1327,0.3338818287037037
233,19.3745,-155.1413,2.78,1.95,16.1327,0.3338818287037037
234,19.379,-155.153,3.92,1.65,14.81,0.32775717592592596
235,19.379,-155.153,3.92,1.65,14.81,0.32775717592592596
236,19.3752,-155.1443,3.44,1.91,15.8097,0.3231037037037037
237,19.3752,-155.1443,3.44,1.91,15.8097,0.3231037037037037
238,19.37,-155.1548,4.09,1.74,14.9808,0.3200189814814815
239,19.37,-155.1548,4.09,1.74,14.9808,0.3200189814814815
240,19.3697,-155.1593,2.67,1.65,14.5581,0.31786643518518515
241,19.3697,-155.1593,2.67,1.65,14.5581,0.31786643518518515
242,19.362000000000002,-155.1423,2.53,1.88,16.5346,0.3142855324074074
243,19.362000000000002,-155.1423,2.53,1.88,16.5346,0.3142855324074074
244,19.3693,-155.143,3.27,1.75,16.1607,0.31328217592592594
245,19.3693,-155.143,3.27,1.75,16.1607,0.31328217592592594
246,19.3668,-155.138,0.52,1.47,16.75,0.2996020833333333
247,19.3668,-155.138,0.52,1.47,16.75,0.2996020833333333
