,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
146,19.3708,-155.1572,3.55,1.49,14.7141,False,True,True
147,19.3708,-155.1572,3.55,1.49,14.7141,False,True,True
148,19.3683,-155.1537,3.57,1.53,15.1598,False,True,True
149,19.3683,-155.1537,3.57,1.53,15.1598,False,True,True
150,19.3697,-155.1547,4.0,1.6,15.0032,False,True,True
151,19.3697,-155.1547,4.0,1.6,15.0032,False,True,True
152,19.3727,-155.1677,3.44,0.89,13.6168,False,True,True
153,19.3727,-155.1677,3.44,0.89,13.6168,False,True,True
154,19.3742,-155.1607,3.61,0.63,14.2325,False,True,True
155,19.3742,-155.1607,3.61,0.63,14.2325,False,True,True
156,19.366,-155.1567,3.43,0.63,14.9728,False,True,True
157,19.366,-155.1567,3.43,0.63,14.9728,False,True,True
158,19.3762,-155.1572,3.58,1.3,14.4968,False,True,True
159,19.3762,-155.1572,3.58,1.3,14.4968,False,True,True
160,19.3718,-155.1665,3.49,1.12,13.772,False,True,True
161,19.3718,-155.1665,3.49,1.12,13.772,False,True,True
162,19.3758,-155.1532,3.43,1.12,14.9064,False,True,True
163,19.3758,-155.1532,3.43,1.12,14.9064,False,True,True
164,19.3707,-155.165,3.09,1.11,13.9651,False,True,True
165,19.3707,-155.165,3.09,1.11,13.9651,False,True,True
166,19.3747,-155.1703,2.73,0.89,13.2787,False,True,True
167,19.3747,-155.1703,2.73,0.89,13.2787,False,True,True
168,19.3573,-155.1538,3.36,1.39,15.6643,False,True,True
169,19.3573,-155.1538,3.36,1.39,15.6643,False,True,True
170,19.373,-155.1637,3.12,1.09,13.9905,False,True,True
171,19.373,-155.1637,3.12,1.09,13.9905,False,True,True
172,19.3707,-155.157,3.55,1.03,14.7378,False,True,True
173,19.3707,-155.157,3.55,1.03,14.7378,False,True,True
174,19.3622,-155.1497,4.11,1.42,15.815999999999999,False,True,True
175,19.3622,-155.1497,4.11,1.42,15.815999999999999,False,True,True
176,19.37,-155.1675,3.87,1.54,13.7572,False,True,True
177,19.37,-155.1675,3.87,1.54,13.7572,False,True,True
178,19.364,-155.1563,3.48,1.16,15.1032,False,True,True
179,19.364,-155.1563,3.48,1.16,15.1032,False,True,True
180,19.3712,-155.1515,3.61,1.87,15.2527,False,True,True
181,19.3712,-155.1515,3.61,1.87,15.2527,False,True,True
182,19.3682,-155.1533,4.29,1.37,15.2028,False,True,True
183,19.3682,-155.1533,4.29,1.37,15.2028,False,True,True
184,19.3752,-155.1533,3.88,1.91,14.9192,False,True,True
185,19.3752,-155.1533,3.88,1.91,14.9192,False,True,True
186,19.3737,-155.1498,3.77,1.6,15.3213,False,True,True
187,19.3737,-155.1498,3.77,1.6,15.3213,False,True,True
188,19.3695,-155.149,3.9,1.7,15.565999999999999,False,True,True
189,19.3695,-155.149,3.9,1.7,15.565999999999999,False,True,True
190,19.37,-155.14600000000002,3.37,1.95,15.839,False,True,True
191,19.37,-155.14600000000002,3.37,1.95,15.839,False,True,True
192,19.3687,-155.161,3.94,1.42,14.4387,False,True,True
193,19.3687,-155.161,3.94,1.42,14.4387,False,True,True
194,19.3692,-155.1625,3.37,1.53,14.2723,False,True,True
195,19.3692,-155.1625,3.37,1.53,14.2723,False,True,True
196,19.3702,-155.16,3.52,1.35,14.4688,False,True,True
